
,Project,Metric,os_mac,os_windows,dist_bionic,dist_focal,hw_arm64,py_3_6,py_3_8
0,seglearn,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,seglearn,Processing_Time,114.67931345980126,133.83017163504968,0.9033423667569977,-0.13550135501355529,121.81571815718158,15.130984643179755,3.523035230352309
2,seglearn,Expense,973.3965672990063,367.6603432700994,0.9033423667570144,-0.13550135501353525,121.81571815718162,15.130984643179769,3.523035230352317
3,pymfe,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,pymfe,Processing_Time,74.31757016532103,177.08573625528635,-16.53210303729335,-15.993848519800077,-4.882737408688977,13.802383698577469,2.0376778162245195
5,pymfe,Expense,771.5878508266052,454.1714725105728,-16.532103037293364,-15.993848519800085,-4.882737408688972,13.802383698577467,2.037677816224518
6,netharn ,Score,1.9934273112513885,-4.272247686586523,6.771599065986327,1.9112687018939782,-1.279944651042122,5.521923376286432,1.8896480152209627
7,netharn ,Processing_Time,762.0793722649765,54.682360042251375,-5.583220159951712,-0.8389920024143743,79.00407424173834,352.27403048136404,-4.065187867813498
8,netharn ,Expense,4210.3968613248835,209.36472008450284,-5.5832201599517015,-0.8389920024143537,79.00407424173838,352.27403048136415,-4.065187867813479
9,kernel-gof,Score,2.6354646836559925,1.038427646182068,0.3151584579959302,-6.596985333365237,-1.8648761576207689,4.967680981872215,1.0851653466282065
10,kernel-gof,Processing_Time,64.81802426343155,193.67417677642985,-18.80415944540728,-16.897746967071054,-5.719237435008652,16.24783362218371,1.7764298093587527
11,kernel-gof,Expense,724.0901213171578,487.3483535528597,-18.80415944540728,-16.89774696707105,-5.719237435008662,16.247833622183713,1.7764298093587612
12,Feature-Selection ,Score,-0.49074818103727175,-0.24501505026911513,0.06651220622155729,0.06651220622155729,0.06651220622155729,-0.04988415466616105,0.5751725063732218
13,Feature-Selection ,Processing_Time,47.49272080232935,126.30216758330639,-14.590747330960859,-13.684891620834684,-4.6586865092203205,12.326108055645419,2.005823358136529
14,Feature-Selection ,Expense,637.4636040116468,352.60433516661277,-14.590747330960847,-13.684891620834684,-4.658686509220325,12.32610805564543,2.00582335813652
15,tfdiffeq,Score,-0.42767686092536383,-0.22159951962941762,-0.199541687260786,-0.03574185800475392,-0.2397768074147012,-0.185857661624675,-0.47567307024602035
16,tfdiffeq,Processing_Time,127.18545578115712,133.13227423328522,-4.018350182652273,-2.4636819301673536,18.129300824059143,24.34797383399882,6.227168464871305
17,tfdiffeq,Expense,1035.9272789057852,366.2645484665703,-4.018350182652272,-2.4636819301673722,18.12930082405911,24.347973833998807,6.227168464871287
18,pescador,Score,-0.0909994736534496,0.10526931399494587,-0.1812971518802329,-0.10550324580386927,-0.12655710860285846,-0.3721855079244551,-0.3993215977542709
19,pescador,Processing_Time,202.57143440697698,152.938052735851,1.2969506341782167,2.6653867363820205,62.647821735667165,78.2193991135802,-3.6825228242887253
20,pescador,Expense,1412.8571720348848,405.8761054717019,1.2969506341782304,2.6653867363820107,62.64782173566715,78.2193991135802,-3.682522824288718
21,entropy,Score,0.043506587975371935,-0.1282470077624227,0.1606883549238856,-0.12110451840617593,-0.07065125763668738,-0.07353393423979,-0.0944606255266954
22,entropy,Processing_Time,86.05442176870747,142.1459492888064,-13.79097093382809,-12.368583797155235,10.977118119975254,20.34632034632034,2.597402597402586
23,entropy,Expense,830.2721088435375,384.2918985776129,-13.79097093382807,-12.368583797155221,10.977118119975273,20.346320346320358,2.5974025974026036
24,setka,Score,5.043438557962495,-4.41921292806301,6.596753153576918,3.3492058583495727,0.952340800635682,2.3540904557370337,8.376583208665481
25,setka,Processing_Time,1085.5140464453286,58.900041575102456,-1.1225277662291469,0.9918631585199188,6.485715982657235,495.37922432737423,8.398170695492063
26,setka,Expense,5827.570232226643,217.8000831502049,-1.1225277662291466,0.9918631585199227,6.485715982657241,495.37922432737423,8.39817069549207
27,spotlight,Score,-0.0006712181772905861,0.1409282038273794,-0.0270505173668932,0.01556971278362927,-0.0015973293333225492,-0.03242875921792003,-0.07744073515212241
28,spotlight,Processing_Time,14.044737807114052,45.04950495049505,-8.104143747708108,-8.379171250458379,-51.81518151815181,-20.993766043270988,28.49284928492849
29,spotlight,Expense,470.2236890355702,190.0990099009901,-8.104143747708108,-8.379171250458382,-51.81518151815181,-20.993766043271002,28.49284928492849
30,regain,Score,-0.005407634227615532,-0.06363626707146068,-0.05735954877153735,0.08603932315733281,0.06672634377298015,0.17391337935616563,-0.16049085868402457
31,regain,Processing_Time,10.380281690140851,60.69014084507043,-2.3169014084506987,-6.2112676056337985,-42.90845070422536,3.852112676056337,2.3450704225352204
32,regain,Expense,451.90140845070425,221.38028169014086,-2.316901408450699,-6.211267605633791,-42.908450704225345,3.8521126760563367,2.345070422535203
33,pytorch-wrapper,Score,0.02617742612995078,0.004261441463012362,-0.005276070382772918,0.010755066549515972,0.042817340414105017,0.026380351913898387,0.021510133099031943
34,pytorch-wrapper,Processing_Time,114.74213588403512,51.99684449265357,-4.062715708509999,-5.423528251651711,8.174736219307768,-2.0116359333398997,-2.4455181934720343
35,pytorch-wrapper,Expense,973.7106794201754,203.99368898530716,-4.062715708510021,-5.423528251651716,8.174736219307759,-2.0116359333399156,-2.4455181934720485
36,rrcf,Score,0.6055908088111374,0.9681531473798294,1.128769538305116,0.34114967377132427,0.20606575623427825,1.5567858592879282,1.8717405590788248
37,rrcf,Processing_Time,117.57529546321007,128.021349599695,-0.8387342737323632,-0.8768585589020222,103.8886770873046,16.43156690812047,8.768585589020208
